"Visit your Insights Page";"Visit your Insights Sayfa"
"Any unsaved changes will be lost. Are you sure you want to leave this page?";"Any unsaved changes will be lost. Are you sure you want to leave this sayfa?"
"Your changes to this page have been saved.";"Your changes to this sayfa have been saved."
"Changing to this layout will cause %s area(s) containing widgets to be destroyed. Are you sure you want to continue?";"Changing to this layout will cause %s area(s) containing widgets to be destroyed. Are you sure you want to continue?"
"Tabbed Blocks";"Tabbed Blocks"
"hide on this page";"hide on this sayfa"
"Are you sure you want to delete this page?";"Are you sure you want to delete this sayfa?"
"Use the layout editor to decide what content appears on main profile of your Page. Click and drag the colored ""blocks"" to arrange the content you want. Drag blocks to and from the ""Available Blocks"" area to add or remove them from your Page profile. Use ""HTML Blocks"" if you want to drop in raw HTML or other content.";"Use the layout editor to decide what content appears on main profile of your Sayfa. Click and drag the colored ""blocks"" to arrange the content you want. Drag blocks to and from the ""Available Blocks"" area to add or remove them from your Sayfa profile. Use ""HTML Blocks"" if you want to drop in raw HTML or other content."
"Note: Some blocks won\'t appear if their apps or features are not available in your package.";"Note: Some blocks won\'t appear if their apps or features are not available in your package."
"Note: Some blocks won\'t appear if their apps or features are not available to your member level.";"Note: Some blocks won\'t appear if their apps or features are not available to your member level."
"Back to Page Dashboard";"Back to Sayfa Dashboard"
"Page Profile Block Placement";"Sayfa Profile Block Placement"
"Select a new column layout for this page.";"Select a new column layout for this sayfa."
"and keep your current layout.";"and keep your current layout."
"Global Header";"Global Header"
"show on this page";"show on this sayfa"
"Missing widget: %s";"Missing widget: %s"
"Global Footer";"Global Footer"
"Main Content Area";"Main Content Area"
"Drop things here to add them to the global footer.";"Drop things here to add them to the global footer."
"Available Blocks";"Available Blocks"
"&#171; Previous";"&#171; Previous"
"Next &#187;";"Next &#187;"
"There are currently no enabled payment gateways. Please contact the site admin to get this issue resolved.";"There are currently no enabled payment gateways. Please contact the site admin to get this issue resolved."
"There are currently no paid packages available of the site. Please upgrade your package.";"There are currently no paid packages available of the site. Please upgrade your package."
"Processing Payment";"Processing Payment"
"Processing Request. Please wait .....";"Processing Request. Please wait ....."
"Order your Page";"Order your Sayfa"
"You have created a page that requires payment. You will be taken to a secure checkout area where you can pay for your page. Remember to continue back to our site after your purchase.";"You have created a sayfa that requires payment. You will be taken to a secure checkout area where you can pay for your sayfa. Remember to continue back to our site after your purchase."
"Please setup your page to continue:";"Please setup your sayfa to continue:"
"Please pay a one-time fee to continue:";"Please pay a one-time fee to continue:"
"or";"or"
"Pay with %1$s";"Pay with %1$s"
"Payment Pending";"Payment Pending"
"Thank you for submitting your payment. Your payment is currently pending - your page will be activated when we are notified that the payment has completed successfully. Please return to our login page when you receive an email notifying you that the payment has completed.";"Thank you for submitting your payment. Your payment is currently pending - your sayfa will be activated when we are notified that the payment has completed successfully. Please return to our login sayfa when you receive an email notifying you that the payment has completed."
"Back to Dashboard page";"Back to Dashboard sayfa"
"Back to My Pages";"Back to My Sayfalar"
"Payment Successful";"Payment Successful"
"Thank you! Your payment for your page has been completed successfully.";"Thank you! Your payment for your sayfa has been completed successfully."
"Continue to Dashboard page";"Continue to Dashboard sayfa"
"Continue to My Pages";"Continue to My Sayfalar"
"Payment Failed";"Payment Failed"
"Our payment processor has notified us that your payment could not be completed successfully. We suggest that you try again with another credit card or funding source";"Our payment processor has notified us that your payment could not be completed successfully. We suggest that you try again with another credit card or funding source"
"Photo %1$s of %2$s in %3$s";"Photo %1$s of %2$s in %3$s"
"Rotate Left";"Rotate Left"
"Rotate Right";"Rotate Right"
"Flip Vertical";"Flip Vertical"
"Flip Horizontal";"Flip Horizontal"
"In this photo:";"In this photo:"
"Added";"Added"
"Tag This Photo";"Tag This Photo"
"Share";"Share"
"Download";"Download"
"Report";"Report"
"Edit";"Edit"
"Close";"Close"
"Photos of ";"Photos of "
" in ";" in "
"Photo %1$s of %2$s";"Photo %1$s of %2$s"
"Like This";"Like This"
"Unlike This";"Unlike This"
"By %1$s";"By %1$s"
"Delete This Photo";"Delete This Photo"
"Edit this caption";"Edit this caption"
"Add a caption";"Add a caption"
"Discussions";"Discussions"
"Back to Topics";"Back to Topics"
"Post Reply";"Post Reply"
"Watch Topic";"Watch Topic"
"Stop Watching Topic";"Stop Watching Topic"
"Make Sticky";"Make Sticky"
"Remove Sticky";"Remove Sticky"
"Rename";"Rename"
"This topic has been closed.";"This topic has been closed."
"Quote";"Quote"
"Posted";"Posted"
"reply";"reply";"replies"
"Last Post";"Last Post"
"by";"by"
"Reply";"Reply"
"Never Expires";"Never Expires"
"Get Started";"Get Started"
"Edit Info";"Edit Info"
"Profile Picture";"Profile Picture"
"Overview";"Overview"
"Edit Style";"Edit Style"
"&raquo; Edit Layout";"&raquo; Edit Layout"
"Location";"Location"
"Profile Info";"Profile Info"
"Manage Admins";"Manage Admins"
"Featured Admins";"Featured Admins"
"Marketing";"Marketing"
"Apps";"Apps"
"Reports";"Reports"
"Package: ";"Package: "
"Payment: ";"Payment: "
"Not made";"Not made"
"Status: ";"Status: "
"Approved ";"Approved "
"Expiration Date: ";"Expiration Date: "
"Make Payment";"Make Payment"
"Please click ";"Please click "
"here";"here"
" to renew page.";" to renew sayfa."
"The package for your Page requires payment. You have not fulfilled the payment for this Page.";"The package for your Sayfa requires payment. You have not fulfilled the payment for this Sayfa."
"Make payment now!";"Make payment now!"
" Click ";" Click "
" to renew it.";" to renew it."
"Your package for this Page has expired and needs to be renewed.";"Your package for this Sayfa has expired and needs to be renewed."
"Your package for this Page is about to expire and needs to be renewed.";"Your package for this Sayfa is about to expire and needs to be renewed."
"An error has occurred processing the request. The target may no longer exist.";"An error has occurred processing the request. The target may no longer exist."
"posted by";"posted by"
"Posted By:";"Posted By:"
"Likes:";"Likes:"
"Tags:";"Tags:"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
"%s Active User";"%s Active User";"%s Active Users"
"Price: ";"Price: "
"Location: ";"Location: "
"Stop Bounce";"Stop Bounce"
"Show Profile Fields.";"Show Profile Fields."
"No Profile Fields.";"No Profile Fields."
"Hide Profile Fields.";"Hide Profile Fields."
" Without Tabbed Layout";" Without Tabbed Layout"
"Views Line Color";"Views Line Color"
"Likes Line Color";"Likes Line Color"
"Pages Plugin";"Sayfalar Plugin"
"Edit Thumbnail";"Edit Thumbnail"
"Apply Changes";"Apply Changes"
"Loading...";"Loading..."
"Upload complete.";"Upload complete."
"An error occurred:";"An error occurred:"
"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock).";"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock)."
"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock).";"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock)."
"A required file was not found, please be patient and we'll fix this.";"A required file was not found, please be patient and we'll fix this."
"To enable the embedded uploader, install the latest Adobe Flash plugin.";"To enable the embedded uploader, install the latest Adobe Flash plugin."
"File Upload";"File Upload"
"This form is just an example fallback for the unobtrusive behaviour of FancyUpload.If this part is not changed, something must be wrong with your code.";"This form is just an example fallback for the unobtrusive behaviour of FancyUpload.If this part is not changed, something must be wrong with your code."
"Upload a Photo:";"Upload a Photo:"
"Click ""Add Photos"" to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo to save them to your page album.";"Click ""Add Photos"" to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo to save them to your sayfa album."
"Clear List";"Clear List"
"Add Photo";"Add Photo"
"Are you sure you want to change package for this Page? Once you change package, all the settings of this page will be applied according to the new package, including apps available, features available, price, etc.";"Are you sure you want to change package for this Sayfa? Once you change package, all the settings of this sayfa will be applied according to the new package, including apps available, features available, price, etc."
"Change Package?";"Change Package?"
"Browse the tags created for pages by various members.";"Browse the tags created for sayfalar by various members."
"No one has liked this Page yet.";"No one has liked this Sayfa yet."
"No one has liked this page other than you.";"No one has liked this sayfa other than you."
"Start typing...";"Start typing..."
"Terms of claiming a Page";"Terms of claiming a Sayfa"
"PAGE_TERMS_CLAIM_1";"By clicking the ""Send"" button, you hereby assert that you are either the owner, manager, employee or associate of the sayfa business, service or interest and have the express authority to own and/or manage the sayfa on this site."
"PAGE_TERMS_CLAIM_2";"The website admin reserves the right to revoke or transfer ownership of this sayfa for any reason including, but not limited to, inaccurate ownership identification, misrepresentation of sayfa information and abusive spamming activity."
"Thank you for your cooperation.";"Thank you for your cooperation."
"Do you want to remove profile photo of your Page? Doing so will set your Page's profile photo back to the default photo.";"Do you want to remove profile photo of your Sayfa? Doing so will set your Sayfa's profile photo back to the default photo."
"Your page has been published.";"Your sayfa has been published."
"Publish Page?";"Publish Sayfa?"
"Are you sure that you want to publish this Page?";"Are you sure that you want to publish this Sayfa?"
"Publish";"Publish"
"This page has been closed by the poster.";"This sayfa has been closed by the poster."
"Page Information";"Sayfa Information"
"Posted On:";"Posted On:"
"Tag:";"Tag:"
"Description:";"Description:"
"Take Print";"Take Print"
"Create New Page";"Create New Sayfa"
"Create a page using these quick, easy steps and get going.";"Create a sayfa using these quick, easy steps and get going."
"1. Choose a Page Package";"1. Choose a Sayfa Package"
"Select a package that best matches your requirements. Packages differ in terms of features available to pages created under them. You can change your package anytime later.";"Select a package that best matches your requirements. Packages differ in terms of features available to sayfalar created under them. You can change your package anytime later."
"Create a Page";"Create a Sayfa"
"Apps available";"Apps available"
"There are no packages yet.";"There are no packages yet."
"Current Package: ";"Current Package: "
"Other available Packages";"Other available Packages"
"If you want to change the package for your page, please select one package from the following list of available packages.";"If you want to change the package for your sayfa, please select one package from the following list of available packages."
"Note: Once you change package for your page, all the settings of the page will be applied according to the new package, including apps available, features available, price, etc.";"Note: Once you change package for your sayfa, all the settings of the sayfa will be applied according to the new package, including apps available, features available, price, etc."
"Change Package";"Change Package"
"There are no other packages yet.";"There are no other packages yet."
"Pages I Have Claimed";"Sayfalar I Have Claimed"
"Last Action Taken: ";"Last Action Taken: "
"Name Specified: ";"Name Specified: "
"Contact Number Specified: ";"Contact Number Specified: "
"Email Specified: ";"Email Specified: "
"About You and Your Page: ";"About You and Your Sayfa: "
"Your Comments: ";"Your Comments: "
"Admin Comment: ";"Admin Comment: "
"You have not claimed for any pages yet.";"You have not claimed for any sayfalar yet."
"Pages I Admin";"Sayfalar I Admin"
"Dashboard";"Dashboard"
"Renew Page";"Renew Sayfa"
"You do not have any pages yet.";"You do not have any sayfalar yet."
"Get started by %1$screating%2$s a new page.";"Get started by %1$screating%2$s a new sayfa."
"Marketing your Page";"Marketing your Sayfa"
"Below are some effective tools to market your Page and increase its popularity.";"Below are some effective tools to market your Sayfa and increase its popularity."
"Advertise on %s";"Advertise on %s"
"Popularize your Page on %s with an attractive ad.";"Popularize your Sayfa on %s with an attractive ad."
"Tell your friends, fans and customers about this page and make it popular.";"Tell your friends, fans and customers about this sayfa and make it popular."
"Send updates to people who have liked your Page.";"Send updates to people who have liked your Sayfa."
"'Save to my foursquare' Button";"'Save to my foursquare' Button"
"This button will enable visitors on your Page to add your place or tip to their foursquare To-Do List.";"This button will enable visitors on your Sayfa to add your place or tip to their foursquare To-Do List."
"In this package not any effective tools available to market your Page.";"In this package not any effective tools available to market your Sayfa."
"For this level user not any effective tools available to market your Page.";"For this level user not any effective tools available to market your Sayfa."
"'Save to foursquare' Button";"'Save to foursquare' Button"
"";""
"Manage Page Admins";"Manage Sayfa Admins"
"Below you can see all the admins who can administer and manage your page, like you can do. You can add new members as admins of this page and remove any existing ones. Note that admins selected by you for this page will get complete authority like you to manage this page, including deleting it. Thus you should be specific in selecting them.";"Below you can see all the admins who can administer and manage your sayfa, like you can do. You can add new members as admins of this sayfa and remove any existing ones. Note that admins selected by you for this sayfa will get complete authority like you to manage this sayfa, including deleting it. Thus you should be specific in selecting them."
"Start typing the name of the member...";"Start typing the name of the member..."
"Add as Admin";"Add as Admin"
"You have already created the maximum number of pages allowed. If you would like to create a new page, please delete an old one first.";"You have already created the maximum number of sayfalar allowed. If you would like to create a new sayfa, please delete an old one first."
"Pages I’ve Claimed";"Sayfalar I’ve Claimed"
"You do not have any page which matches your search criteria.";"You do not have any sayfa which matches your search criteria."
"Manage Featured Page Admins";"Manage Featured Sayfa Admins"
"Below you can select / unselect page admins as featured.";"Below you can select / unselect sayfa admins as featured."
"People Who Like This Page";"People Who Like This Sayfa"
"Friends Who Like This Page";"Friends Who Like This Sayfa"
"All";"All"
"Friends";"Friends"
"Invite your friends to join! Enter up to 10 email addresses separated by commas in the recipients box below. If your friends decide to sign up, a friend request from you will be waiting for them when they first sign in.";"Invite your friends to join! Enter up to 10 email addresses separated by commas in the recipients box below. If your friends decide to sign up, a friend request from you will be waiting for them when they first sign in."
"Send Invites";"Send Invites"
"Separate tags with commas.";"Separate tags with commas."
"Post Update";"Post Update"
"Welcome to your Page. Let's get started!";"Welcome to your Sayfa. Let's get started!"
"Add an image";"Add an image"
"Make your Page more recognized by adding an image as it's profile picture.";"Make your Sayfa more recognized by adding an image as it's profile picture."
"Upload an image";"Upload an image"
"Post updates";"Post updates"
"Share your updates and latest news with the visitors of this page.";"Share your updates and latest news with the visitors of this sayfa."
"Create Rich Overview";"Create Rich Overview"
"Create a rich profile for your Page.";"Create a rich profile for your Sayfa."
"Edit Overview";"Edit Overview"
"Promote to your fans";"Promote to your fans"
"Invite Friends & Fans";"Invite Friends & Fans"
"Invite Friends &amp; Fans";"Invite Friends &amp; Fans"
"Create Offers";"Create Offers"
"Create and display attractive offers on your page.";"Create and display attractive offers on your sayfa."
"Add an Offer";"Add an Offer"
"Add more photos";"Add more photos"
"Create albums and add photos for this page.";"Create albums and add photos for this sayfa."
"Add Photos";"Add Photos"
"Post New Videos";"Post New Videos"
"Post a Video";"Post a Video"
"Add New Documents";"Add New Documents"
"Add and showcase documents on your page.";"Add and showcase documents on your sayfa."
"Add a Document";"Add a Document"
"Write Notes";"Write Notes"
"Share updates and lots more by publishing notes in this blog-like section of your page.";"Share updates and lots more by publishing notes in this blog-like section of your sayfa."
"Create New Events";"Create New Events"
"Organize events for this page.";"Organize events for this sayfa."
"Create New Polls";"Create New Polls"
"Get feedback from visitors to your page.";"Get feedback from visitors to your sayfa."
"Create a Poll";"Create a Poll"
"Post New Topics";"Post New Topics"
"Enable interactions and information sharing on your page using threaded discussions.";"Enable interactions and information sharing on your sayfa using threaded discussions."
"Configure your Form";"Configure your Form"
"Gather useful information from visitors by creating your form with relevant questions.";"Gather useful information from visitors by creating your form with relevant questions."
"Add a Question";"Add a Question"
"Please upgrade your member level.";"Please upgrade your member level."
"Nothing has been posted here yet - be the first!";"Nothing has been posted here yet - be the first!"
"Featured Page Admins";"Featured Sayfa Admins"
"Below you can see all the featured admins of this page. Featured admins are shown on the page profile.";"Below you can see all the featured admins of this sayfa. Featured admins are shown on the sayfa profile."
"%s featured page admin";"%s featured sayfa admin";"%s featured sayfa admins"
"Add Featured Page Admins";"Add Featured Sayfa Admins"
"No featured admins have been added for this page yet.";"No featured admins have been added for this sayfa yet."
"Remove ";"Remove "
" from my Page's favorites?";" from my Sayfa's favorites?"
" from favorites for";" from favorites for"
"Add ";"Add "
" to my Page's favorites?";" to my Sayfa's favorites?"
" to favorites for";" to favorites for";" to favorites for"
"Edit location by clicking on ""Edit Location"" below. You can also accurately mark the position of your entity on the map by dragging-and-dropping the marker(shown in red color) on the map at the right position, and then click on ""Save Changes"" to save the position.";"Edit location by clicking on ""Edit Location"" below. You can also accurately mark the position of your entity on the map by dragging-and-dropping the marker(shown in red color) on the map at the right position, and then click on ""Save Changes"" to save the position."
"You have not added a location for your page. Click";"You have not added a location for your sayfa. Click"
"to add it.";"to add it."
"You have already created the maximum number of pages allowed.";"You have already created the maximum number of sayfalar allowed."
"2. Configure your page based on the package you have chosen.";"2. Configure your sayfa based on the package you have chosen."
"Choose a different package";"Choose a different package"
"Your request has been sent successfully. The site administrator will act on your request and you will receive an email correspondingly. You can also track your claims over %1$shere%2$s.";"Your request has been sent successfully. The site administrator will act on your request and you will receive an email correspondingly. You can also track your claims over %1$shere%2$s."
"There are no pages to be claimed yet.";"There are no sayfalar to be claimed yet."
"Photos";"Photos"
"Manage Albums";"Manage Albums"
"Polls";"Polls"
"Badges";"Badges"
"Manage Polls";"Manage Polls"
"Documents";"Documents"
"Manage Documents";"Manage Documents"
"Offers";"Offers"
"Manage Offers";"Manage Offers"
"Manage Form";"Manage Form"
"Videos";"Videos"
"Add and share videos for this page.";"Add and share videos for this sayfa."
"Manage Videos";"Manage Videos"
"Events";"Events"
"Create an Event";"Create an Event"
"Manage Events";"Manage Events"
"Notes";"Notes"
"Write a Note";"Write a Note"
"Manage Notes";"Manage Notes"
"Post a Topic";"Post a Topic"
"Manage Discussions";"Manage Discussions"
"Please upgrade member level.";"Please upgrade member level."
"Delete File Entry?";"Delete File Entry?"
"Are you sure that you want to delete this file entry ? It will not be recoverable after being deleted. Note that deleting it will also delete those entries which were going to be used to import the corresponding Pages from this file.";"Are you sure that you want to delete this file entry ? It will not be recoverable after being deleted. Note that deleting it will also delete those entries which were going to be used to import the corresponding Sayfalar from this file."
"Importing file content...";"Importing file content..."
"Are you sure you want to start importing Pages ?";"Are you sure you want to start importing Sayfalar ?"
"Importing Pages...";"Importing Sayfalar..."
"Importing is done succesfully.";"Importing is done succesfully."
"Sorry for this inconvenience !!";"Sorry for this inconvenience !!"
"Importing is interrupted due to some reason. Please click on 'Import Again' button to start the importing from the same point again.";"Importing is interrupted due to some reason. Please click on 'Import Again' button to start the importing from the same point again."
"Directory/Pages - Videos or Core - Videos Plugin is either not installed or disabled at your site. So, this import tool will not be able to import the data corresponding to Listing Videos.";"Directory/Sayfalar - Videos or Core - Videos Plugin is either not installed or disabled at your site. So, this import tool will not be able to import the data corresponding to Listing Videos."
"Directory/Pages - Reviews Plugin is not installed or disabled at your site, so listing import functionality will not import the listing review datas.";"Directory/Sayfalar - Reviews Plugin is not installed or disabled at your site, so listing import functionality will not import the listing review datas."
"Start Import";"Start Import"
"There are no pages joined by you.";"There are no sayfalar joined by you."
"Import Again";"Import Again"
"Showing ";"Showing "
" of ";" of "
" files.";" files."
"Id";"Id"
"File Name";"File Name"
"Upload Date / Time";"Upload Date / Time"
"Start";"Start"
"Rollback";"Rollback"
"You have not imported any file yet.";"You have not imported any file yet."
"Pending";"Pending"
"Running";"Running"
"Completed";"Completed"
"Stopped";"Stopped"
"Rollback pages ?";"Rollback sayfalar ?"
"Are you sure that you want to rollback the pages imported from this file ? Doing so will delete all the Pages created through this import.";"Are you sure that you want to rollback the sayfalar imported from this file ? Doing so will delete all the Sayfalar created through this import."
"Import History Browser";"Import History Browser"
"Import history is helpful for troubleshooting and debugging. You can track a complete importing process over here. Select the history you would like to view below.";"Import history is helpful for troubleshooting and debugging. You can track a complete importing process over here. Select the history you would like to view below."
"Showing the last %1$s lines, %2$s bytes from the end. The file\'s size is %3$s bytes.";"Showing the last %1$s lines, %2$s bytes from the end. The file\'s size is %3$s bytes."
"2 of ";"2 of "
"albums";"albums"
"1 of ";"1 of "
"See All";"See All"
"of";"of"
"photos by others";"photos by others"
"'s Discussions";"'s Discussions"
"Post New Topic";"Post New Topic"
"No discussion topics have been posted in this Page yet.";"No discussion topics have been posted in this Sayfa yet."
"Click %s to start a discussion.";"Click %s to start a discussion."
" &raquo; Discussions ";" &raquo; Discussions "
"This page has been closed by the owner.";"This sayfa has been closed by the owner."
"All Categories";"All Categories"
"<span> %s </span> Monthly Active User";"<span> %s </span> Monthly Active User";"<span> %s </span> Monthly Active Users"
"See All &raquo;";"See All &raquo;"
"Basic Information";"Basic Information"
"Posted:";"Posted:"
"Last Updated:";"Last Updated:"
"Last updated %s";"Last updated %s"
"Total likes";"Total likes"
"'s Map";"'s Map"
"Location Information";"Location Information"
"Formatted Address:";"Formatted Address:"
"Street Address:";"Street Address:"
"City:";"City:"
"City";"City"
"Zipcode:";"Zipcode:"
"State:";"State:"
"Country:";"Country:"
" &raquo; Map ";" &raquo; Map "
"SPONSORED";"SPONSORED"
"Change Picture";"Change Picture"
"FEATURED";"FEATURED"
"%s view";"%s view";"%s views"
"%s Discussion";"%s Discussion";"%s Discussions"
"%s Reply";"%s Reply";"%s Replies"
"'s Overview";"'s Overview"
"No overview has been composed for this Page yet.";"No overview has been composed for this Sayfa yet."
" to compose it.";" to compose it."
"Click ";"Click "
" &raquo; Overview ";" &raquo; Overview "
"Create an Ad";"Create an Ad"
"More Ads";"More Ads"
"Cancel reporting this ad";"Cancel reporting this ad"
"Undo";"Undo"
"Do you want to report this? Why didn't you like it?";"Do you want to report this? Why didn't you like it?"
"Misleading";"Misleading"
"Offensive";"Offensive"
"Inappropriate";"Inappropriate"
"Licensed Material";"Licensed Material"
"Other";"Other"
"Specify your reason here..";"Specify your reason here.."
"Report this ad";"Report this ad"
"You like this.";"You like this."
"%s person likes this.";"%s person likes this.";"%s people like this."
"%s other likes this.";"%s other likes this.";"%s others like this."
"You and %s";"You and %s"
"%s %s";"%s %s"
"Unlike";"Unlike"
"Like";"Like"
"Invite Friends";"Invite Friends"
"Nobody has created a page with that criteria. Be the first to %1$screate%2$s one!";"Nobody has created a sayfa with that criteria. Be the first to %1$screate%2$s one!"
"No Pages have been created yet.";"No Sayfalar have been created yet."
"Be the first to %1$screate%2$s one!";"Be the first to %1$screate%2$s one!"
"'s Photos ";"'s Photos "
"Create an Album";"Create an Album"
"%s Photo Album";"%s Photo Album";"%s Photo Albums"
" &raquo; Photos ";" &raquo; Photos "
"View All Pages";"View All Sayfalar"
"All Pages";"All Sayfalar"
"Map View";"Map View"
"Grid View";"Grid View"
"List View";"List View"
"View Page &raquo;";"View Sayfa &raquo;"
"More &raquo;";"More &raquo;"
"Popular Page Tags";"Popular Sayfa Tags"
"%1$s\'s Tags";"%1$s\'s Tags"
"More";"More"
"Write something about";"Write something about"
"Write something about ";"Write something about "
"Edit Page Profile Info";"Edit Sayfa Profile Info"
"Profile information enables you to add additional information about your page depending on its category. This non-generic additional information will help others know more specific details about your page.";"Profile information enables you to add additional information about your sayfa depending on its category. This non-generic additional information will help others know more specific details about your sayfa."
"Designation";"Designation"
"Salary";"Salary"
"Save Info";"Save Info"
"Reviews";"Reviews"
"Separate multiple addresses with commas.";"Separate multiple addresses with commas."
"view";"view"
"Check Availability";"Check Availability"
"cancel";"cancel"
"Delicious";"Delicious"
"Digg";"Digg"
"Facebook";"Facebook"
"Fark";"Fark"
"MySpace";"MySpace"
"Twitter";"Twitter"
"Google Buzz";"Google Buzz"
"Updates";"Updates"
"Cancel";"Cancel"
"Do you want to report this?";"Do you want to report this?"
"Type a tag or select a name from the list.";"Type a tag or select a name from the list."
"Create New";"Creatre New"
"Duplicate Existing";"Duplicate Existing"
"Hide on the search options";"Hide on the search options"
"Show on the search options";"Show on the search options"
"Are you sure you want to delete this field?";"Are you sure you want to delete this field?"
"Are you sure you want to delete the current profile type?";"Are you sure you want to delete the current profile type?"
"Pages Home";"Sayfalar Home"
"Website: ";"Website: "
"Email: ";"Email: "
"Phone: ";"Phone: "
"min ";"min "
"max";"max"
"Add Link";"Add Link"
"Attach";"Attach"
"Edit Profile Type";"Edit Profile Type"
"Choice Label";"Choice Label"
"Edit Choice";"Edit Choice"
"You have not created any badges yet. Get started by ";"You have not created any badges yet. Get started by "
"creating";"creating"
" one.";" one."
"Facebook Page URL";"Facebook Sayfa URL"
"Facebook Like Box";"Facebook Like Box"
"Link your Page to Facebook";"Link your Sayfa to Facebook"
"Publish your Page's updates to your Facebook Page and show your Facebook Page Like Box on your Page.";"Publish your Sayfa's updates to your Facebook Sayfa and show your Facebook Sayfa Like Box on your Sayfa."
"Show your Facebook Page Like Box on your Page.";"Show your Facebook Sayfa Like Box on your Sayfa."
"Publish your Page's updates to your Facebook Page.";"Publish your Sayfa's updates to your Facebook Sayfa."
"My Community";"My Community"
"Edit Layout";"Edit Layout"
"Price (US Dollar)";"Price (US Dollar)"
"Enable 'Send an Update' for pages of this package. (Using this, page admins will be able send an update  for their pages' entity. Page Admins will get this option in the ""Marketing"" section of their Dashboard.)";"Enable 'Send an Update' for sayfalar of this package. (Using this, sayfa admins will be able send an update  for their sayfalar' entity. Sayfa Admins will get this option in the ""Marketing"" section of their Dashboard.)"
"First Approved on ";"First Approved on "
"Active User";"Active User"
"<span> %s </span> Active User";"<span> %s </span> Active User";"<span> %s </span> Active Users"
" - posted by ";" - posted by "
"Stop";"Stop"
"Play";"Play"
"Post Comment";"Post Comment"
"Spam";"Spam"
"Abuse";"Abuse"
"(select)";"(select)"
"Inappropriate Content";"Inappropriate Content"
"Submit Report";"Submit Report"
"Post Something...";"Post Something..."
"More +";"More +"
"Hide this photo";"Hide this photo"
"Reset Photo Strip";"Reset Photo Strip"
"Share this by re-posting it with your own message.";"Share this by re-posting it with your own message."
"First Name";"First Name"
"Last Name";"Last Name"
"Gender";"Gender"
"Birthdate";"Birthdate"
"About Me";"About Me"
"AIM";"AIM"
"Interests";"Interests"
"Single-line Text Input";"Single-line Text Input"
"Multi-line Text Input";"Multi-line Text Input"
"Select Box";"Select Box"
"Radio Buttons";"Radio Buttons"
"Single Checkbox";"Single Checkbox"
"Multi Select Box";"Multi Select Box"
"Multi Checkbox";"Multi Checkbox"
"Integer";"Integer"
"Float";"Float"
"Heading";"Heading"
"Zip Code";"Zip Code"
"Relationship Status";"Relationship Status"
"Looking For";"Looking For"
"Interested In";"Interested In"
"Education";"Education"
"Ethnicity";"Ethnicity"
"Income";"Income"
"Occupation";"Occupation"
"Political Views";"Political Views"
"Religion";"Religion"
"Weight";"Weight"
"Zodiac";"Zodiac"
"Eye Color";"Eye Color"
"Generic";"Generic"
"Specific";"Specific"
"Ok";"Ok"
"End date: ";"End date: "
"URL:";"URL:"
"Link ";"Link "
"  to your Page:";"  to your Sayfa:"
"Select your Page to be linked to ";"Select your Sayfa to be linked to "
"Unlink ";"Unlink "
" from your Page:";" from your Sayfa:"
"Select your Page to be unlinked from ";"Select your Sayfa to be unlinked from "
"Unlink";"Unlink"
"Link";"Link"
"Your Page has been successfully linked.";"Your Sayfa has been successfully linked."
"Your Page has been successfully unlinked.";"Your Sayfa has been successfully unlinked."
"_SITEPAGE_INSIGHTS_ALL";"Insights"
"_SITEPAGE_INSIGHTS_ACTIVE_USERS";"Active Users"
"_SITEPAGE_INSIGHTS_VIEW";"Views"
"_SITEPAGE_INSIGHTS_LIKE";"Likes"
"_SITEPAGE_INSIGHTS_COMMENT";"Comments"
" week";" week"
" month";" month"
"Administrator's Comments: ";"Administrator's Comments: "
"ITEM_TYPE_SITEPAGE_TOPIC";"Sayfa Discussion Topics"
"ITEM_TYPE_SITEPAGE_POST";"Sayfa Discussion Posts"
"ITEM_TYPE_SITEPAGE_PAGE";"Sayfalar"
"ITEM_TYPE_SITEPAGE_PHOTO";"Sayfa Albums"
"ADMIN_ACTIVITY_TYPE_SITEPAGE_NEW";"When someone creates a new Sayfa."
"ADMIN_ACTIVITY_TYPE_COMMENT_SITEPAGE_PAGE";"When someone comments one of my sayfa."
"_ACTIVITY_ACTIONTYPE_COMMENT_SITEPAGE_PAGE";"Comments on your sayfalar"
"_ACTIVITY_ACTIONTYPE_SITEPAGE_NEW";"New sayfalar"
"ACTIVITY_TYPE_SITEPAGE_MANAGEADMIN";"When I am made the administrator of a Sayfa."
"ACTIVITY_TYPE_SITEPAGE_DISCUSSION_REPLY";"When people reply to discussion topics that I've replied to."
"ACTIVITY_TYPE_SITEPAGE_DISCUSSION_RESPONSE";"When people reply to discussion topics that I create."
"ACTIVITY_TYPE_SITEPAGE_INSIGHTS";"Periodic statistical insights of my Sayfalar."
"_EMAIL_SITEPAGE_INSIGHTS_EMAIL_NOTIFICATION_TITLE";"Sayfa Insights Email Notification"
